nid,label,predlnV,predlnM,lnV,lnm,vk,vb,mk,mb,tt
117862_0,FALSE,0.1373291,0.16638184,0.12615128,0.0696205,0.1373,4.094,0.1664,4.45,10.733334
117864_5,FALSE,0.13549805,0.16455078,-0.3164841,-0.1418206,0.1355,4.06,0.1646,4.25,12.5
117880_1,FALSE,0.1854248,0.20947266,0.05129333,0.013048735,0.1854,4.08,0.2095,4.305,11.766666
117896_0,FALSE,0.15307617,0.18041992,0.028399458,-5.56E-05,0.1531,4.094,0.1804,4.344,13.566667
117902_1,FALSE,0.15661621,0.18237305,-0.011428685,-0.052731816,0.1566,4.09,0.1824,4.32,18.2
117909_0,FALSE,0.14807129,0.17663574,0.10178265,0.106662944,0.1481,4.094,0.1766,4.45,12.133333
117947_0,FALSE,0.28686523,0.3359375,0.16362941,0.222994,0.2869,4.06,0.336,4.53,12.333333
117947_1,FALSE,0.25732422,0.2890625,0.2339378,0.3323746,0.2573,4.094,0.289,4.48,12.333333
117950_1,FALSE,0.18066406,0.2055664,-0.12516314,-0.12184065,0.1807,4.09,0.2056,4.457,12.1
117951_0,FALSE,0.14001465,0.1694336,0.054808278,-0.10438926,0.14,4.105,0.1694,4.43,11.466666
117965_2,FALSE,0.23522949,0.2565918,0.118951984,0.071194515,0.2352,4.09,0.2566,4.484,12.066667
117976_0,FALSE,0.24987793,0.27807617,-0.19867072,-0.16194889,0.2499,4.1,0.278,4.4,9.366667
117998_0,TRUE,0.28710938,0.3334961,0.17294738,0.124216765,0.287,4.07,0.3335,4.43,12.133333
117999_1,FALSE,0.15100098,0.1784668,-0.05556988,-0.06890921,0.151,4.1,0.1785,4.387,10
118033_1,FALSE,0.14404297,0.17138672,-0.030077474,-0.02857082,0.144,4.094,0.1714,4.336,13.366667
118060_0,FALSE,0.15112305,0.17883301,0,0.012037727,0.1511,4.098,0.1788,4.453,12.1
118060_3,FALSE,0.13378906,0.16235352,0.1712357,0.1903574,0.1338,4.035,0.1624,4.195,12.1
118060_7,FALSE,0.14025879,0.1665039,0.1479201,0.17889422,0.1403,3.896,0.1665,3.96,12.1
118060_9,FALSE,0.14233398,0.17089844,-0.064124525,-0.035133135,0.1423,4.1,0.1709,4.445,12.1
118065_0,FALSE,0.15905762,0.18518066,-0.109199286,-0.08601459,0.159,4.086,0.1852,4.316,12.866667
118072_0,FALSE,0.13562012,0.16442871,-0.22635385,-0.22181405,0.1356,4.07,0.1644,4.28,15.2
118072_1,FALSE,0.27612305,0.31689453,0.001194002,0.00782768,0.2761,3.988,0.317,4.562,15.2
118072_2,FALSE,0.18322754,0.21142578,0.19410999,0.17809406,0.1832,4.08,0.2114,4.46,15.2
118079_0,FALSE,0.1887207,0.21313477,-0.5364934,-0.6031351,0.1887,4.094,0.2131,4.445,11.966666
118079_2,FALSE,0.14978027,0.1772461,-0.4805857,-0.4156667,0.1498,4.098,0.1772,4.445,11.966666
118085_0,FALSE,0.1595459,0.18615723,-0.16034262,-0.16305675,0.1595,4.082,0.1862,4.305,7.866667
118085_1,FALSE,0.14123535,0.17016602,0.16571148,0.17464843,0.1412,4.1,0.1702,4.406,7.866667
118085_8,FALSE,0.2836914,0.32421875,-0.005882364,-0.15818913,0.2837,4.086,0.3242,4.4,7.866667
121257_1,FALSE,0.15856934,0.18444824,-0.022642458,0.03701436,0.1586,4.07,0.1844,4.29,14.466666
121829_0,FALSE,0.17590332,0.20178223,0.06559726,0.12357011,0.1759,4.098,0.2018,4.363,11.466666
121852_0,TRUE,0.14587402,0.17321777,0.42974547,0.4687596,0.1459,4.082,0.1732,4.31,12.466666
121852_1,FALSE,0.14782715,0.17370605,0.14149952,0.159456,0.1478,4.008,0.1737,4.145,12.466666
121888_0,FALSE,0.14709473,0.17553711,0.002958566,0.027464634,0.1471,4.098,0.1755,4.363,14.233334
121901_1,FALSE,0.13330078,0.16259766,0.19319122,0.080119655,0.1333,4.066,0.1626,4.27,11.9
121901_4,FALSE,0.23522949,0.25585938,-0.3550343,-0.62586755,0.2352,4.094,0.2559,4.316,11.9
121912_0,FALSE,0.14086914,0.16906738,-0.049896963,-0.019633444,0.1409,4.074,0.1691,4.28,12.366667
122044_0,FALSE,0.14904785,0.17614746,0.069958575,0.006193847,0.149,4.04,0.1761,4.207,12.033334
122044_1,FALSE,0.1373291,0.16625977,0,-0.045833148,0.1373,4.08,0.1663,4.29,12.033334
122068_2,FALSE,0.1706543,0.19628906,0,-0.05893836,0.1707,4.086,0.1963,4.465,11.766666
122078_1,FALSE,0.14697266,0.17456055,0.11778303,0.18827978,0.147,4.09,0.1746,4.33,12.6
122081_1,FALSE,0.14135742,0.16845703,0.15104027,0.16665573,0.1414,4.074,0.1685,4.29,6.8333335
122092_0,FALSE,0.13586426,0.16479492,0.019731548,0.072118305,0.1359,4.086,0.1648,4.46,11.9
122092_1,FALSE,0.16894531,0.19592285,-0.08948171,-0.12733099,0.169,4.09,0.1959,4.434,10.966666
122092_2,FALSE,0.14331055,0.17114258,-0.18232158,-0.2694201,0.1433,4.086,0.1711,4.316,11.9
122092_3,FALSE,0.16760254,0.19445801,-0.10144306,-0.14361492,0.1676,4.098,0.1945,4.43,11.9
122116_1,FALSE,0.17163086,0.19763184,0.07038076,0.17988518,0.1716,4.074,0.1976,4.28,11.666667
122124_0,FALSE,0.15307617,0.1809082,-0.19961303,-0.1713605,0.1531,4.086,0.1809,4.324,12.3
122158_0,FALSE,0.26464844,0.2980957,0.077132374,0.051985156,0.2646,4.09,0.298,4.496,11.2
122158_1,FALSE,0.14208984,0.17126465,-0.12830944,-0.16484682,0.1421,4.1,0.1713,4.38,11.2
122158_3,FALSE,0.13647461,0.16540527,0.009852353,-0.013177652,0.1365,4.07,0.1654,4.277,11.2
122167_0,FALSE,0.27368164,0.31103516,-0.13353139,-0.07225509,0.2737,4.08,0.311,4.4,11.9
122167_1,FALSE,0.1303711,0.15930176,-0.1018631,-0.07517238,0.1304,4.016,0.1593,4.16,11.9
122179_0,FALSE,0.24328613,0.26342773,-0.5313919,-0.63849634,0.2433,4.066,0.2634,4.25,10.8
122179_1,FALSE,0.16320801,0.1875,-0.119263425,-0.11793827,0.1632,4.01,0.1875,4.156,10.8
122201_1,FALSE,0.15197754,0.17810059,-0.3441943,-0.26025876,0.152,4.094,0.1781,4.336,12.833333
122255_0,TRUE,0.2919922,0.3461914,0.6658871,0.89847386,0.292,3.625,0.3462,3.533,11.333333
122324_0,FALSE,0.15942383,0.18334961,0.08126299,0.05878818,0.1594,3.96,0.1833,4.066,11.2
122368_0,FALSE,0.25952148,0.29077148,-0.1601477,-0.0814555,0.2595,4.098,0.2908,4.387,11.633333
122378_0,FALSE,0.1451416,0.17407227,-0.561684,-0.48392618,0.1451,4.098,0.1741,4.37,11.7
122380_1,FALSE,0.16333008,0.18847656,-0.26358455,-0.41744983,0.1633,4.082,0.1885,4.31,10.866667
122398_0,FALSE,0.28271484,0.32055664,-0.057587877,-0.15988596,0.2827,4.086,0.3206,4.383,12.666667
122409_4,FALSE,0.16503906,0.19067383,0.06402189,0.0851589,0.165,4.047,0.1907,4.22,18.433332
122424_0,FALSE,0.14672852,0.1751709,0.15296936,0.121097066,0.1467,4.09,0.1752,4.332,11.666667
122446_0,FALSE,0.14794922,0.1763916,-0.13353139,-0.15057202,0.148,4.094,0.1764,4.45,12.3
122450_7,FALSE,0.15991211,0.18615723,-0.13205972,-0.176532,0.1599,4.09,0.1862,4.32,13.466666
122457_1,FALSE,0.1652832,0.19128418,-0.012048354,0.09966366,0.1653,4.086,0.1913,4.316,13.533334
122457_2,FALSE,0.14855957,0.17687988,-0.018884653,0.05758508,0.1486,4.098,0.1769,4.37,13.533334
122457_8,FALSE,0.27124023,0.30541992,-0.08112557,0.0370772,0.2712,4.09,0.3054,4.465,13.533334
122462_0,FALSE,0.13806152,0.16662598,-0.41565198,-0.40013537,0.1381,4.082,0.1666,4.305,12.133333
122463_0,FALSE,0.14941406,0.1763916,-0.031951576,0.018952355,0.1494,4.074,0.1764,4.293,20.033333
122463_1,FALSE,0.14465332,0.17346191,0.038318865,-0.029407555,0.1447,4.09,0.1735,4.34,20.033333
122463_2,FALSE,0.14892578,0.17687988,0.04063769,-0.024050994,0.1489,4.074,0.1769,4.285,20.033333
122463_5,FALSE,0.14147949,0.17028809,0.003616699,-0.040837724,0.1415,4.094,0.1703,4.344,20.033333
122463_8,FALSE,0.14038086,0.16906738,0.015564516,-0.003571862,0.1404,4.094,0.1691,4.336,20.033333
122487_0,FALSE,0.13354492,0.16296387,0.23541366,0.121287785,0.1335,4.1,0.163,4.375,13.466666
122487_1,FALSE,0.13574219,0.16479492,-0.42899558,-0.4615439,0.1357,4.08,0.1648,4.29,13.466666
122492_0,FALSE,0.14025879,0.16894531,-0.32104778,-0.27671367,0.1403,4.09,0.169,4.324,12.166667
122498_0,FALSE,0.16796875,0.19628906,-0.3391725,-0.28165248,0.168,4.094,0.1963,4.375,14.066667
122498_1,FALSE,0.14001465,0.16918945,0.010050288,-0.011731627,0.14,4.094,0.1692,4.36,14.066667
122498_4,FALSE,0.13671875,0.16589355,-0.15415066,-0.21588233,0.1367,4.098,0.1659,4.355,14.066667
122526_0,TRUE,0.28588867,0.3310547,0.8848254,0.980041,0.286,4.043,0.331,4.49,12.366667
122549_5,FALSE,0.19140625,0.21386719,0.20430048,0.1302668,0.1914,4.06,0.2139,4.242,13.066667
122560_0,FALSE,0.28515625,0.33325195,-2.8727572,-2.5932255,0.2852,4.01,0.3333,4.42,11.166667
122564_0,FALSE,0.27734375,0.31396484,0.22426026,-0.06383381,0.2773,4.094,0.314,4.37,10.5
122564_1,FALSE,0.14355469,0.17163086,-0.22871463,-0.39039338,0.1436,4.086,0.1716,4.46,10.5
122564_3,FALSE,0.1427002,0.17163086,0.3327058,0.09311782,0.1427,4.098,0.1716,4.363,10.5
122574_0,FALSE,0.13366699,0.16308594,-0.034210853,-0.01517553,0.1337,4.098,0.1631,4.35,11.7
127349_0,FALSE,0.15527344,0.18029785,-0.33832577,-0.3806646,0.1553,4.035,0.1803,4.2,12.833333
133421_1,TRUE,0.28515625,0.33154297,0.21211417,0.18679613,0.2852,4.043,0.3315,4.496,11.866667
